UserID,Role,Content,Timestamp
,,,12/9/2024
,,,12/9/2024
,,,12/9/2024
TestUser,user,Test message,2024-12-09T01:06:44.100Z
ManualTestUserStartup,user,Startup Test Message,2024-12-09T02:54:37.595Z
ManualTestUserStartup,user,Startup Test Message,2024-12-09T03:03:29.262Z
ManualTestUserStartup,user,Startup Test Message,2024-12-09T03:17:39.972Z
ManualTestUserStartup,user,Startup Test Message,2024-12-09T03:24:21.330Z
Ue649c876a5b17abb6dbbbb6a286c51f0,user,I love you!,2024-12-09T03:26:02.957Z
Ue649c876a5b17abb6dbbbb6a286c51f0,user,Hi,2024-12-09T12:37:08.755Z
Ue649c876a5b17abb6dbbbb6a286c51f0,user,Yes,2024-12-09T12:37:24.758Z
Ue649c876a5b17abb6dbbbb6a286c51f0,user,Good morning,2024-12-09T12:37:29.758Z
Ue649c876a5b17abb6dbbbb6a286c51f0,user,Good day!,2024-12-10T01:42:11.706Z
Ue649c876a5b17abb6dbbbb6a286c51f0,user,Hi,2024-12-10T01:45:12.292Z
ManualTestUserStartup,user,Startup Test Message,2024-12-10T01:47:10.255Z
Ue649c876a5b17abb6dbbbb6a286c51f0,user,Hi,2024-12-10T01:47:35.101Z
Ue649c876a5b17abb6dbbbb6a286c51f0,assistant,Hello! How can I assist you today?,2024-12-10T01:47:37.347Z
Ue649c876a5b17abb6dbbbb6a286c51f0,user,I’m having a trouble with my boss…,2024-12-10T01:48:44.848Z
Ue649c876a5b17abb6dbbbb6a286c51f0,assistant,"I'm sorry to hear that you're having trouble with your boss. If you'd like, I can provide some general advice on how to handle difficult situations at work.",2024-12-10T01:48:46.530Z
Ue649c876a5b17abb6dbbbb6a286c51f0,user,What did I say?,2024-12-10T01:54:24.768Z
Ue649c876a5b17abb6dbbbb6a286c51f0,assistant,"You mentioned that you are having trouble with your boss. If you would like to elaborate on the situation or if you have any specific questions, feel free to share more details so I can better assist you.",2024-12-10T01:54:28.028Z
Ue649c876a5b17abb6dbbbb6a286c51f0,user,No before that one,2024-12-10T01:54:46.140Z
